/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading HIGGS via tfds (canonical split: train=first 500000, test=last 500000 of 11000000); reading full stream (first run downloads/prepares ~2.6GB)...
HIGGS loaded: train (500000, 28), test (500000, 28); train positive-class fraction=0.5309; standardization saved to /Users/tobiasm1/git/verified-certified-robustness/scripts/higgs_standardization.npz
test data loaded: 500000 instances
higgs_w512_d5_s80 eps=0.095: acc=0.7059 vra=0.6254 rob=0.8471
higgs_w512_d5_s80 eps=0.1: acc=0.7059 vra=0.6210 rob=0.8392
higgs_w512_d5_s80 eps=0.105: acc=0.7059 vra=0.6165 rob=0.8313
higgs_w512_d5_s80 eps=0.11: acc=0.7059 vra=0.6119 rob=0.8233
higgs_w512_d5_s80 eps=0.115: acc=0.7059 vra=0.6073 rob=0.8152
higgs_w512_d5_s80 eps=0.12: acc=0.7059 vra=0.6027 rob=0.8072
higgs_w512_d5_s80 eps=0.13: acc=0.7059 vra=0.5933 rob=0.7911
higgs_w512_d5_s80 eps=0.15: acc=0.7059 vra=0.5746 rob=0.7593
higgs_w512_d5_s80 eps=0.175: acc=0.7059 vra=0.5504 rob=0.7192
higgs_w512_d5_s80 eps=0.2: acc=0.7059 vra=0.5260 rob=0.6795
higgs_w512_d5_s80 eps=0.25: acc=0.7059 vra=0.4756 rob=0.6006
higgs_w512_d5_s80 eps=0.3: acc=0.7059 vra=0.4236 rob=0.5233
higgs_w512_d5_s90 eps=0.02: acc=0.7063 vra=0.6897 rob=0.9674
higgs_w512_d5_s90 eps=0.05: acc=0.7063 vra=0.6645 rob=0.9186
higgs_w512_d5_s90 eps=0.08: acc=0.7063 vra=0.6384 rob=0.8700
higgs_w512_d5_s90 eps=0.09: acc=0.7063 vra=0.6295 rob=0.8539
higgs_w512_d5_s90 eps=0.095: acc=0.7063 vra=0.6251 rob=0.8458
higgs_w512_d5_s90 eps=0.1: acc=0.7063 vra=0.6205 rob=0.8376
higgs_w512_d5_s90 eps=0.105: acc=0.7063 vra=0.6160 rob=0.8296
higgs_w512_d5_s90 eps=0.11: acc=0.7063 vra=0.6115 rob=0.8214
higgs_w512_d5_s90 eps=0.115: acc=0.7063 vra=0.6068 rob=0.8133
higgs_w512_d5_s90 eps=0.12: acc=0.7063 vra=0.6021 rob=0.8055
higgs_w512_d5_s90 eps=0.13: acc=0.7063 vra=0.5925 rob=0.7889
higgs_w512_d5_s90 eps=0.15: acc=0.7063 vra=0.5733 rob=0.7566
higgs_w512_d5_s90 eps=0.175: acc=0.7063 vra=0.5489 rob=0.7165
higgs_w512_d5_s90 eps=0.2: acc=0.7063 vra=0.5243 rob=0.6763
higgs_w512_d5_s90 eps=0.25: acc=0.7063 vra=0.4739 rob=0.5972
higgs_w512_d5_s90 eps=0.3: acc=0.7063 vra=0.4213 rob=0.5193
