/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
test data loaded: 10000 instances
mnist_tobler_s50 eps=0.65: acc=0.9845 vra=0.8539 rob=0.8542
mnist_tobler_s50 eps=0.7: acc=0.9845 vra=0.8297 rob=0.8299
mnist_tobler_s50 eps=0.8: acc=0.9845 vra=0.7754 rob=0.7754
mnist_tobler_s50 eps=1.0: acc=0.9845 vra=0.6135 rob=0.6135
mnist_tobler_s60 eps=0.1: acc=0.9843 vra=0.9765 rob=0.9864
mnist_tobler_s60 eps=0.2: acc=0.9843 vra=0.9660 rob=0.9725
mnist_tobler_s60 eps=0.25: acc=0.9843 vra=0.9606 rob=0.9660
mnist_tobler_s60 eps=0.3: acc=0.9843 vra=0.9530 rob=0.9569
mnist_tobler_s60 eps=0.35: acc=0.9843 vra=0.9447 rob=0.9473
mnist_tobler_s60 eps=0.4: acc=0.9843 vra=0.9360 rob=0.9379
mnist_tobler_s60 eps=0.45: acc=0.9843 vra=0.9241 rob=0.9256
mnist_tobler_s60 eps=0.475: acc=0.9843 vra=0.9180 rob=0.9194
mnist_tobler_s60 eps=0.5: acc=0.9843 vra=0.9118 rob=0.9129
mnist_tobler_s60 eps=0.525: acc=0.9843 vra=0.9039 rob=0.9048
mnist_tobler_s60 eps=0.55: acc=0.9843 vra=0.8947 rob=0.8954
mnist_tobler_s60 eps=0.6: acc=0.9843 vra=0.8758 rob=0.8764
mnist_tobler_s60 eps=0.65: acc=0.9843 vra=0.8569 rob=0.8575
mnist_tobler_s60 eps=0.7: acc=0.9843 vra=0.8320 rob=0.8322
mnist_tobler_s60 eps=0.8: acc=0.9843 vra=0.7721 rob=0.7722
mnist_tobler_s60 eps=1.0: acc=0.9843 vra=0.6016 rob=0.6016
